symbol,funding_time,close_order_submit_time
IRYSUSDT,2026-05-15T16:00:00+00:00,T+100ms
STORJUSDT,2026-05-15T20:00:00+00:00,T+100ms
STORJUSDT,2026-05-16T04:00:00+00:00,T+100ms
DODOXUSDT,2026-05-16T12:00:00+00:00,T+100ms
FIDAUSDT,2026-05-17T20:00:00+00:00,T+100ms
FIDAUSDT,2026-05-18T00:00:00+00:00,T+100ms
FIDAUSDT,2026-05-18T04:00:00+00:00,T+100ms
FIDAUSDT,2026-05-18T08:00:00+00:00,T+100ms
FIDAUSDT,2026-05-18T12:00:00+00:00,T+100ms
RONINUSDT,2026-05-18T20:00:00+00:00,T+100ms
RONINUSDT,2026-05-19T00:00:00+00:00,T+100ms
ONTUSDT,2026-05-19T04:00:00+00:00,T+100ms
MBOXUSDT,2026-05-19T08:00:00+00:00,T+100ms
RONINUSDT,2026-05-19T12:00:00+00:00,T+100ms
ENJUSDT,2026-05-19T16:00:00+00:00,T+100ms
ENJUSDT,2026-05-19T20:00:00+00:00,T+100ms
PROMPTUSDT,2026-05-20T00:00:00+00:00,T+100ms
PROMPTUSDT,2026-05-20T01:00:00+00:00,T+100ms
IRYSUSDT,2026-05-20T04:00:00+00:00,T+100ms
IRYSUSDT,2026-05-20T08:00:00+00:00,T+100ms
CHIPUSDT,2026-05-20T12:00:00+00:00,T+100ms
IRYSUSDT,2026-05-21T04:00:00+00:00,T+100ms
STEEMUSDT,2026-05-23T04:00:00+00:00,T+100ms
MTLUSDT,2026-05-23T08:00:00+00:00,T+100ms
COSUSDT,2026-05-23T12:00:00+00:00,T+100ms
PRLUSDT,2026-05-23T12:00:00+00:00,T+100ms
